# Title: February 1989 - January 1990 Contiguous U.S. County Palmer Z-Index
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,1.07,1.11,120,-0.04
AL-003,Baldwin County,Alabama,0.94,0.93,118,0.01
AL-005,Barbour County,Alabama,1.41,1.4,127,0.01
AL-007,Bibb County,Alabama,1.19,1.23,125,-0.04
AL-009,Blount County,Alabama,1.24,1.2,124,0.04
AL-011,Bullock County,Alabama,1.54,1.52,127,0.01
AL-013,Butler County,Alabama,0.56,0.61,107,-0.05
AL-015,Calhoun County,Alabama,1.56,1.56,130,-0
AL-017,Chambers County,Alabama,1.43,1.48,127,-0.05
AL-019,Cherokee County,Alabama,1.78,1.81,130,-0.03
AL-021,Chilton County,Alabama,0.98,1.03,118,-0.06
AL-023,Choctaw County,Alabama,1.05,1.02,119,0.03
AL-025,Clarke County,Alabama,0.98,1.01,120,-0.03
AL-027,Clay County,Alabama,1.12,1.11,120,0.01
AL-029,Cleburne County,Alabama,1.18,1.18,123,-0
AL-031,Coffee County,Alabama,1.06,1.01,122,0.05
AL-033,Colbert County,Alabama,1.33,1.32,125,0.01
AL-035,Conecuh County,Alabama,1.04,1.1,123,-0.07
AL-037,Coosa County,Alabama,1.21,1.27,124,-0.07
AL-039,Covington County,Alabama,1.05,1.06,126,-0
AL-041,Crenshaw County,Alabama,0.94,0.95,122,-0.01
AL-043,Cullman County,Alabama,1.13,1.11,122,0.02
AL-045,Dale County,Alabama,1.24,1.17,122,0.06
AL-047,Dallas County,Alabama,0.82,0.84,116,-0.02
AL-049,DeKalb County,Alabama,1.37,1.4,128,-0.03
AL-051,Elmore County,Alabama,1.41,1.48,127,-0.07
AL-053,Escambia County,Alabama,1.29,1.3,126,-0.01
AL-055,Etowah County,Alabama,1.52,1.51,130,0.01
AL-057,Fayette County,Alabama,1.14,1.14,121,-0.01
AL-059,Franklin County,Alabama,1.31,1.32,125,-0.01
AL-061,Geneva County,Alabama,1.11,1.05,123,0.06
AL-063,Greene County,Alabama,1.08,1.1,118,-0.02
AL-065,Hale County,Alabama,0.98,1.01,121,-0.03
AL-067,Henry County,Alabama,1.33,1.3,126,0.03
AL-069,Houston County,Alabama,1.23,1.17,122,0.06
AL-071,Jackson County,Alabama,1.52,1.56,130,-0.04
AL-073,Jefferson County,Alabama,1.1,1.1,122,0
AL-075,Lamar County,Alabama,1.37,1.42,125,-0.05
AL-077,Lauderdale County,Alabama,1.39,1.37,127,0.02
AL-079,Lawrence County,Alabama,1.64,1.61,130,0.03
AL-081,Lee County,Alabama,1.55,1.6,128,-0.05
AL-083,Limestone County,Alabama,1.63,1.66,130,-0.02
AL-085,Lowndes County,Alabama,1.21,1.19,123,0.02
AL-087,Macon County,Alabama,1.72,1.73,128,-0.01
AL-089,Madison County,Alabama,1.78,1.81,130,-0.04
AL-091,Marengo County,Alabama,1.18,1.19,125,-0.01
AL-093,Marion County,Alabama,1.22,1.23,122,-0.01
AL-095,Marshall County,Alabama,1.31,1.3,128,0.01
AL-097,Mobile County,Alabama,0.59,0.57,106,0.02
AL-099,Monroe County,Alabama,1.04,1.11,126,-0.07
AL-101,Montgomery County,Alabama,1.76,1.78,129,-0.03
AL-103,Morgan County,Alabama,1.57,1.57,130,-0.01
AL-105,Perry County,Alabama,0.99,1.05,120,-0.06
AL-107,Pickens County,Alabama,1.42,1.45,124,-0.03
AL-109,Pike County,Alabama,1.39,1.36,127,0.03
AL-111,Randolph County,Alabama,1.15,1.18,125,-0.02
AL-113,Russell County,Alabama,1.54,1.56,128,-0.02
AL-115,St. Clair County,Alabama,1.27,1.24,124,0.03
AL-117,Shelby County,Alabama,1.03,1.06,118,-0.03
AL-119,Sumter County,Alabama,1.24,1.29,126,-0.05
AL-121,Talladega County,Alabama,1.29,1.29,123,0.01
AL-123,Tallapoosa County,Alabama,1.62,1.67,128,-0.06
AL-125,Tuscaloosa County,Alabama,1.28,1.29,126,-0.01
AL-127,Walker County,Alabama,0.97,0.95,121,0.02
AL-129,Washington County,Alabama,0.78,0.75,109,0.04
AL-131,Wilcox County,Alabama,0.94,0.97,122,-0.03
AL-133,Winston County,Alabama,1.15,1.12,123,0.03
AZ-001,Apache County,Arizona,-2.04,-2.03,1,-0.01
AZ-003,Cochise County,Arizona,-1.35,-1.44,4,0.09
AZ-005,Coconino County,Arizona,-1.8,-1.89,3,0.1
AZ-007,Gila County,Arizona,-1.67,-1.76,2,0.09
AZ-009,Graham County,Arizona,-1.76,-1.79,1,0.03
AZ-011,Greenlee County,Arizona,-1.81,-1.78,1,-0.03
AZ-012,La Paz County,Arizona,-1.28,-1.39,3,0.11
AZ-013,Maricopa County,Arizona,-1.29,-1.38,2,0.09
AZ-015,Mohave County,Arizona,-1.6,-1.65,2,0.05
AZ-017,Navajo County,Arizona,-1.73,-1.81,3,0.08
AZ-019,Pima County,Arizona,-1.38,-1.45,3,0.07
AZ-021,Pinal County,Arizona,-1.64,-1.74,2,0.11
AZ-023,Santa Cruz County,Arizona,-1.43,-1.55,3,0.11
AZ-025,Yavapai County,Arizona,-1.63,-1.73,2,0.1
AZ-027,Yuma County,Arizona,-0.87,-0.94,14,0.07
AR-001,Arkansas County,Arkansas,1.22,1.24,125,-0.02
AR-003,Ashley County,Arkansas,0.97,0.97,114,-0
AR-005,Baxter County,Arkansas,-0.12,-0.17,46,0.05
AR-007,Benton County,Arkansas,-0.21,-0.23,51,0.02
AR-009,Boone County,Arkansas,-0.24,-0.28,43,0.04
AR-011,Bradley County,Arkansas,0.84,0.86,107,-0.02
AR-013,Calhoun County,Arkansas,0.79,0.81,109,-0.02
AR-015,Carroll County,Arkansas,-0.19,-0.22,49,0.03
AR-017,Chicot County,Arkansas,1.2,1.17,123,0.02
AR-019,Clark County,Arkansas,0.59,0.65,110,-0.06
AR-021,Clay County,Arkansas,0.05,0.04,65,0.01
AR-023,Cleburne County,Arkansas,-0.02,0,64,-0.03
AR-025,Cleveland County,Arkansas,0.93,0.95,116,-0.01
AR-027,Columbia County,Arkansas,0.86,0.88,115,-0.02
AR-029,Conway County,Arkansas,0.15,0.16,78,-0.01
AR-031,Craighead County,Arkansas,0.14,0.13,77,0.01
AR-033,Crawford County,Arkansas,-0.02,-0.02,68,0
AR-035,Crittenden County,Arkansas,0.8,0.78,113,0.02
AR-037,Cross County,Arkansas,0.7,0.68,112,0.02
AR-039,Dallas County,Arkansas,0.71,0.74,110,-0.03
AR-041,Desha County,Arkansas,1.39,1.4,126,-0.01
AR-043,Drew County,Arkansas,1.29,1.31,124,-0.01
AR-045,Faulkner County,Arkansas,0.14,0.18,82,-0.04
AR-047,Franklin County,Arkansas,0.01,-0,69,0.02
AR-049,Fulton County,Arkansas,-0.31,-0.34,38,0.03
AR-051,Garland County,Arkansas,0.42,0.45,101,-0.04
AR-053,Grant County,Arkansas,0.77,0.8,113,-0.03
AR-055,Greene County,Arkansas,0.17,0.12,73,0.04
AR-057,Hempstead County,Arkansas,0.73,0.8,107,-0.07
AR-059,Hot Spring County,Arkansas,0.58,0.62,108,-0.03
AR-061,Howard County,Arkansas,0.45,0.5,101,-0.05
AR-063,Independence County,Arkansas,0.1,0.11,73,-0
AR-065,Izard County,Arkansas,-0.03,-0.06,58,0.03
AR-067,Jackson County,Arkansas,0.32,0.34,91,-0.02
AR-069,Jefferson County,Arkansas,1.21,1.23,124,-0.02
AR-071,Johnson County,Arkansas,-0.31,-0.31,44,-0
AR-073,Lafayette County,Arkansas,0.89,0.91,114,-0.01
AR-075,Lawrence County,Arkansas,0.07,0.02,69,0.05
AR-077,Lee County,Arkansas,0.96,0.93,119,0.03
AR-079,Lincoln County,Arkansas,1.23,1.26,125,-0.02
AR-081,Little River County,Arkansas,1.11,1.13,120,-0.02
AR-083,Logan County,Arkansas,0.33,0.31,86,0.02
