# Title: February 1993 - January 1994 Contiguous U.S. County Palmer Z-Index
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,-0.5,-0.46,35,-0.04
AL-003,Baldwin County,Alabama,-0.32,-0.34,45,0.01
AL-005,Barbour County,Alabama,-0.07,-0.09,61,0.01
AL-007,Bibb County,Alabama,-0.42,-0.38,46,-0.04
AL-009,Blount County,Alabama,-0.92,-0.96,11,0.04
AL-011,Bullock County,Alabama,-0.22,-0.24,56,0.01
AL-013,Butler County,Alabama,-0.19,-0.14,57,-0.05
AL-015,Calhoun County,Alabama,-0.77,-0.77,22,-0
AL-017,Chambers County,Alabama,-0.64,-0.59,28,-0.05
AL-019,Cherokee County,Alabama,-0.95,-0.92,14,-0.03
AL-021,Chilton County,Alabama,-0.69,-0.64,24,-0.06
AL-023,Choctaw County,Alabama,-0.02,-0.05,71,0.03
AL-025,Clarke County,Alabama,-0.22,-0.19,57,-0.03
AL-027,Clay County,Alabama,-0.97,-0.97,16,0.01
AL-029,Cleburne County,Alabama,-1.06,-1.06,11,-0
AL-031,Coffee County,Alabama,0.04,-0.01,73,0.05
AL-033,Colbert County,Alabama,0.12,0.11,74,0.01
AL-035,Conecuh County,Alabama,-0.08,-0.01,64,-0.07
AL-037,Coosa County,Alabama,-0.83,-0.76,18,-0.07
AL-039,Covington County,Alabama,-0.02,-0.02,74,-0
AL-041,Crenshaw County,Alabama,-0.29,-0.28,50,-0.01
AL-043,Cullman County,Alabama,-0.69,-0.72,21,0.02
AL-045,Dale County,Alabama,-0.22,-0.28,53,0.06
AL-047,Dallas County,Alabama,-0.41,-0.39,42,-0.02
AL-049,DeKalb County,Alabama,-0.84,-0.81,17,-0.03
AL-051,Elmore County,Alabama,-0.55,-0.48,37,-0.07
AL-053,Escambia County,Alabama,0.11,0.12,78,-0.01
AL-055,Etowah County,Alabama,-0.83,-0.84,19,0.01
AL-057,Fayette County,Alabama,-0.41,-0.4,39,-0.01
AL-059,Franklin County,Alabama,0.13,0.15,74,-0.01
AL-061,Geneva County,Alabama,-0.37,-0.42,44,0.06
AL-063,Greene County,Alabama,-0.19,-0.17,62,-0.02
AL-065,Hale County,Alabama,-0.31,-0.28,51,-0.03
AL-067,Henry County,Alabama,-0.5,-0.52,38,0.03
AL-069,Houston County,Alabama,-0.55,-0.61,30,0.06
AL-071,Jackson County,Alabama,-0.6,-0.56,27,-0.04
AL-073,Jefferson County,Alabama,-0.92,-0.93,17,0
AL-075,Lamar County,Alabama,-0.27,-0.23,53,-0.05
AL-077,Lauderdale County,Alabama,-0.04,-0.06,62,0.02
AL-079,Lawrence County,Alabama,-0.1,-0.12,56,0.03
AL-081,Lee County,Alabama,-0.49,-0.44,36,-0.05
