asd_code,country_name,location_desc,state_alpha,state_fips_code,reference_period_desc,county_ansi,util_practice_desc,domain_desc,freq_desc,congr_district_code,year,unit_desc,region_desc,state_ansi,week_ending,county_code,begin_code,county_name,end_code,Value,zip_5,watershed_code,class_desc,watershed_desc,agg_level_desc,state_name,country_code,load_time,sector_desc,asd_desc,prodn_practice_desc,group_desc,CV (%),commodity_desc,domaincat_desc,short_desc,statisticcat_desc,source_desc
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,15,,,00,,00,"417,750,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,10.6,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,15,,,00,,00,"317,731,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,28.1,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,15,,,00,,00,"449,376,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,4.4,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,15,,,00,,00,"367,484,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,15,,,00,,00,"381,175,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,15,,,00,,00,"346,683,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,15,,,00,,00,"311,827,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,10.2,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,15,,,00,,00,"243,010,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,34.7,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,15,,,00,,00,"397,130,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,4.1,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,15,,,00,,00,"244,359,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,15,,,00,,00,"289,096,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,15,,,00,,00,"259,739,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,15,,,00,,00,"96,745,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,9.5,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,15,,,00,,00,"99,339,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,13.8,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,15,,,00,,00,"89,497,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,6.6,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,15,,,00,,00,"62,432,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,15,,,00,,00,"64,181,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,15,,,00,,00,"54,728,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,15,,,00,,00,"513,817,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,9.4,CROP TOTALS,NAICS CLASSIFICATION: (111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,15,,,00,,00,"415,878,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,23.0,CROP TOTALS,NAICS CLASSIFICATION: (111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,15,,,00,,00,"537,682,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,4.7,CROP TOTALS,NAICS CLASSIFICATION: (111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,15,,,00,,00,"429,209,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,15,,,00,,00,"444,739,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,15,,,00,,00,                 (D),,00000000,ALL CLASSES,,STATE,HAWAII,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (1111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,15,,,00,,00,"85,207,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,5.7,CROP TOTALS,NAICS CLASSIFICATION: (1111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,15,,,00,,00,"152,399,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,6.3,CROP TOTALS,NAICS CLASSIFICATION: (1111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,15,,,00,,00,"21,748,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (1111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,15,,,00,,00,"14,117,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (1111),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,15,,,00,,00,"625,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,81.1,CROP TOTALS,NAICS CLASSIFICATION: (11112),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,15,,,00,,00,                 (D),,00000000,ALL CLASSES,,STATE,HAWAII,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11115),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,15,,,00,,00,"85,207,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,5.7,CROP TOTALS,NAICS CLASSIFICATION: (11115),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,15,,,00,,00,"152,399,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,6.3,CROP TOTALS,NAICS CLASSIFICATION: (11115),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,15,,,00,,00,"21,748,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11115),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,15,,,00,,00,"14,117,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11115),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,15,,,00,,00,"122,218,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,15.5,CROP TOTALS,NAICS CLASSIFICATION: (1112),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
,UNITED STATES,HAWAII,HI,15,YEAR,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,15,,,00,,00,"87,187,000",,00000000,ALL CLASSES,,STATE,HAWAII,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,CROP TOTALS,(H),CROP TOTALS,NAICS CLASSIFICATION: (1112),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
