location_desc,short_desc,year,CV (%),freq_desc,state_alpha,asd_desc,util_practice_desc,class_desc,begin_code,county_name,watershed_desc,Value,load_time,prodn_practice_desc,sector_desc,domaincat_desc,asd_code,group_desc,end_code,region_desc,source_desc,country_code,zip_5,commodity_desc,country_name,state_ansi,domain_desc,county_ansi,watershed_code,congr_district_code,state_fips_code,county_code,agg_level_desc,reference_period_desc,state_name,unit_desc,week_ending,statisticcat_desc
VERMONT,"CROP TOTALS - SALES, MEASURED IN $",2022,14.9,ANNUAL,VT,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,,,"75,420,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,CENSUS,9000,,CROP TOTALS,UNITED STATES,50,IRRIGATION STATUS,,00000000,,50,,STATE,YEAR,VERMONT,$,,SALES
VERMONT,"CROP TOTALS - SALES, MEASURED IN $",2017,12.4,ANNUAL,VT,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,,,"57,430,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,CENSUS,9000,,CROP TOTALS,UNITED STATES,50,IRRIGATION STATUS,,00000000,,50,,STATE,YEAR,VERMONT,$,,SALES
VERMONT,"CROP TOTALS - SALES, MEASURED IN $",2012,9.8,ANNUAL,VT,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,,,"53,765,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,CENSUS,9000,,CROP TOTALS,UNITED STATES,50,IRRIGATION STATUS,,00000000,,50,,STATE,YEAR,VERMONT,$,,SALES
VERMONT,"CROP TOTALS - SALES, MEASURED IN $",2007,,ANNUAL,VT,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,,,"42,421,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,CENSUS,9000,,CROP TOTALS,UNITED STATES,50,IRRIGATION STATUS,,00000000,,50,,STATE,YEAR,VERMONT,$,,SALES
VERMONT,"CROP TOTALS - SALES, MEASURED IN $",2002,,ANNUAL,VT,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,,,"34,645,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,CENSUS,9000,,CROP TOTALS,UNITED STATES,50,IRRIGATION STATUS,,00000000,,50,,STATE,YEAR,VERMONT,$,,SALES
VERMONT,"CROP TOTALS - SALES, MEASURED IN $",1997,,ANNUAL,VT,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,,,"24,169,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,CENSUS,9000,,CROP TOTALS,UNITED STATES,50,IRRIGATION STATUS,,00000000,,50,,STATE,YEAR,VERMONT,$,,SALES
VERMONT,"CROP TOTALS - SALES, MEASURED IN $",2022,8.0,ANNUAL,VT,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,,,"18,874,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,00,,CENSUS,9000,,CROP TOTALS,UNITED STATES,50,IRRIGATION STATUS,,00000000,,50,,STATE,YEAR,VERMONT,$,,SALES
VERMONT,"CROP TOTALS - SALES, MEASURED IN $",2017,(D),ANNUAL,VT,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,,,                 (D),2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,00,,CENSUS,9000,,CROP TOTALS,UNITED STATES,50,IRRIGATION STATUS,,00000000,,50,,STATE,YEAR,VERMONT,$,,SALES
VERMONT,"CROP TOTALS - SALES, MEASURED IN $",2012,12.3,ANNUAL,VT,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,,,"16,863,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,00,,CENSUS,9000,,CROP TOTALS,UNITED STATES,50,IRRIGATION STATUS,,00000000,,50,,STATE,YEAR,VERMONT,$,,SALES
VERMONT,"CROP TOTALS - SALES, MEASURED IN $",2007,,ANNUAL,VT,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,,,"18,035,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,00,,CENSUS,9000,,CROP TOTALS,UNITED STATES,50,IRRIGATION STATUS,,00000000,,50,,STATE,YEAR,VERMONT,$,,SALES
