state_alpha,load_time,asd_code,county_code,short_desc,watershed_code,asd_desc,agg_level_desc,region_desc,CV (%),unit_desc,prodn_practice_desc,state_ansi,sector_desc,year,begin_code,commodity_desc,Value,domain_desc,source_desc,country_code,domaincat_desc,week_ending,country_name,watershed_desc,congr_district_code,statisticcat_desc,group_desc,reference_period_desc,location_desc,state_fips_code,county_name,util_practice_desc,freq_desc,county_ansi,zip_5,class_desc,state_name,end_code
LA,2024-07-02 12:00:00.000,,,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN CWT / ACRE",00000000,,STATE,,(L),CWT / ACRE,"IRRIGATED, NONE OF CROP",22,CROPS,2022,00,BEANS,21,TOTAL,CENSUS,9000,NOT SPECIFIED,,UNITED STATES,,,YIELD,FIELD CROPS,YEAR,LOUISIANA,22,,ALL UTILIZATION PRACTICES,ANNUAL,,,"DRY EDIBLE, (EXCL CHICKPEAS & LIMA)",LOUISIANA,00
LA,2012-01-01 00:00:00.000,,,"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN CWT / ACRE",00000000,,STATE,,,CWT / ACRE,"IRRIGATED, ENTIRE CROP",22,CROPS,2002,00,BEANS,                 (D),TOTAL,CENSUS,9000,NOT SPECIFIED,,UNITED STATES,,,YIELD,FIELD CROPS,YEAR,LOUISIANA,22,,ALL UTILIZATION PRACTICES,ANNUAL,,,"DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS",LOUISIANA,00
LA,2018-02-01 00:00:00.000,,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",00000000,,STATE,,3.1,BU / ACRE,IRRIGATED,22,CROPS,2018,00,CORN,195,"IRRIGATION METHOD, PRIMARY",CENSUS,9000,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",,UNITED STATES,,,YIELD,FIELD CROPS,YEAR,LOUISIANA,22,,GRAIN,ANNUAL,,,ALL CLASSES,LOUISIANA,00
LA,2012-12-31 00:00:00.000,,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",00000000,,STATE,,,BU / ACRE,IRRIGATED,22,CROPS,2013,00,CORN,196,"IRRIGATION METHOD, PRIMARY",CENSUS,9000,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",,UNITED STATES,,,YIELD,FIELD CROPS,YEAR,LOUISIANA,22,,GRAIN,ANNUAL,,,ALL CLASSES,LOUISIANA,00
LA,2018-02-01 00:00:00.000,,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",00000000,,STATE,,0.4,BU / ACRE,IRRIGATED,22,CROPS,2018,00,CORN,194,"IRRIGATION METHOD, PRIMARY",CENSUS,9000,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",,UNITED STATES,,,YIELD,FIELD CROPS,YEAR,LOUISIANA,22,,GRAIN,ANNUAL,,,ALL CLASSES,LOUISIANA,00
LA,2012-12-31 00:00:00.000,,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",00000000,,STATE,,,BU / ACRE,IRRIGATED,22,CROPS,2013,00,CORN,182,"IRRIGATION METHOD, PRIMARY",CENSUS,9000,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",,UNITED STATES,,,YIELD,FIELD CROPS,YEAR,LOUISIANA,22,,GRAIN,ANNUAL,,,ALL CLASSES,LOUISIANA,00
LA,2018-02-01 00:00:00.000,,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",00000000,,STATE,,2.8,BU / ACRE,IRRIGATED,22,CROPS,2018,00,CORN,195,TOTAL,CENSUS,9000,NOT SPECIFIED,,UNITED STATES,,,YIELD,FIELD CROPS,YEAR,LOUISIANA,22,,GRAIN,ANNUAL,,,ALL CLASSES,LOUISIANA,00
LA,2012-12-31 00:00:00.000,,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",00000000,,STATE,,,BU / ACRE,IRRIGATED,22,CROPS,2013,00,CORN,193,TOTAL,CENSUS,9000,NOT SPECIFIED,,UNITED STATES,,,YIELD,FIELD CROPS,YEAR,LOUISIANA,22,,GRAIN,ANNUAL,,,ALL CLASSES,LOUISIANA,00
LA,2012-12-31 00:00:00.000,,,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",00000000,,STATE,,,TONS / ACRE,IRRIGATED,22,CROPS,2013,00,CORN,18,"IRRIGATION METHOD, PRIMARY",CENSUS,9000,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",,UNITED STATES,,,YIELD,FIELD CROPS,YEAR,LOUISIANA,22,,SILAGE,ANNUAL,,,ALL CLASSES,LOUISIANA,00
LA,2012-12-31 00:00:00.000,,,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",00000000,,STATE,,,TONS / ACRE,IRRIGATED,22,CROPS,2013,00,CORN,18,TOTAL,CENSUS,9000,NOT SPECIFIED,,UNITED STATES,,,YIELD,FIELD CROPS,YEAR,LOUISIANA,22,,SILAGE,ANNUAL,,,ALL CLASSES,LOUISIANA,00
