load_time,sector_desc,prodn_practice_desc,asd_desc,state_name,country_code,class_desc,watershed_code,watershed_desc,agg_level_desc,zip_5,source_desc,short_desc,statisticcat_desc,CV (%),commodity_desc,domaincat_desc,group_desc,year,unit_desc,region_desc,util_practice_desc,domain_desc,freq_desc,congr_district_code,state_alpha,state_fips_code,location_desc,reference_period_desc,county_ansi,country_name,asd_code,end_code,Value,county_name,week_ending,state_ansi,county_code,begin_code
2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IOWA,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,6.5,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,2022,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,IA,19,IOWA,YEAR,,UNITED STATES,,00,"1,235,531,000",,,19,,00
2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IOWA,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,5.2,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,2017,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,IA,19,IOWA,YEAR,,UNITED STATES,,00,"656,337,000",,,19,,00
2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IOWA,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,4.3,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,2012,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,IA,19,IOWA,YEAR,,UNITED STATES,,00,"566,924,000",,,19,,00
2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IOWA,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,2007,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,IA,19,IOWA,YEAR,,UNITED STATES,,00,"382,271,000",,,19,,00
2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IOWA,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,2002,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,IA,19,IOWA,YEAR,,UNITED STATES,,00,"233,743,000",,,19,,00
2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IOWA,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,1997,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,IA,19,IOWA,YEAR,,UNITED STATES,,00,"187,587,000",,,19,,00
2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IOWA,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,10.6,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,2022,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,IA,19,IOWA,YEAR,,UNITED STATES,,00,"133,616,000",,,19,,00
2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IOWA,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,2.1,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,2017,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,IA,19,IOWA,YEAR,,UNITED STATES,,00,"110,468,000",,,19,,00
2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IOWA,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,13.8,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,2012,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,IA,19,IOWA,YEAR,,UNITED STATES,,00,"54,762,000",,,19,,00
2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IOWA,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,2007,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,IA,19,IOWA,YEAR,,UNITED STATES,,00,"46,802,000",,,19,,00
